Metric,Value
Cumulative_Return,1.4328611444680561e-05
Annualized_Return,1.0988393790434259e-06
Volatility,6.797167655721441e-06
Max_Drawdown,-1.7937930964660127e-05
Trading_Days,3286
Start_Date,2013-01-03
End_Date,2026-01-27
